OBJECTID,STNCODE,STNNAME,ADDRESS1,ADDRESS2,CITY,STATE,ZIP,STNTYPE,STFIPS
"1","HUN","Huntington, West Virginia","1050 8th Avenue","","Huntington","WV","25701","RAIL","54"
"2","HUT","Hutchinson, Kansas","North Walnut St & East 3rd Ave","","Hutchinson","KS","67501","RAIL","20"
"3","HWC","Howard City, Michigan","130 North Ensley St.","Sunoco Station","Howard City","MI","49323","BUS","26"
"4","IDO","Indio, California","NE Corner Hywy-111 and Monroe Street","Sunline Bus Stop","Indio","CA","92201-3917","BUS","06"
"5","IDP","Independence, Missouri","600 South Grand Ave.","","Independence","MO","64050-3564","RAIL","29"
"6","IND","Indianapolis, Indiana","350 South Illinois Street","","Indianapolis","IN","46225-1198","RAIL","18"
"7","IRV","Irvine, California","15215 Barranca Parkway","Irvine Transportation Center","Irvine","CA","92618","RAIL","06"
"8","JAN","Jackson, Mississippi","300 W. Capital Street","","Jackson","MS","39201","RAIL","28"
"9","JAX","Jacksonville, Florida","3570 Clifford Lane","","Jacksonville","FL","32209-2123","RAIL","12"
"10","JEF","Jefferson City, Missouri","101 Jefferson Street","","Jefferson City","MO","65101","RAIL","29"
"12","JMN","Jamestown, New York","111 West Third Street","U.S. News Agency","Jamestown","NY","14701","BUS","36"
"13","JOL","Joliet, Illinois","50 East Jefferson Street","Union Station","Joliet","IL","60431","RAIL","17"
"14","JSP","Jesup, Georgia","176 Northwest Broad Street","","Jesup","GA","31545-1300","RAIL","13"
"15","JST","Johnstown, Pennsylvania","47 Walnut Street","","Johnstown","PA","15901","RAIL","42"
"16","JVL","Janesville, Wisconsin","3120 North Pontiac Drive","Bus Station","Janesville","WI","53545-0373","BUS","55"
"17","JXN","Jackson, Michigan","501 E. Michigan Ave.","","Jackson","MI","49201","RAIL","26"
"18","KAL","Kalamazoo, Michigan","459 North Burdick St.","","Kalamazoo","MI","49007-3669","RAIL","26"
"19","KAN","Kannapolis, North Carolina","201 South Main St.","","Kannapolis","NC","28081","RAIL","37"
"20","KCY","Kansas City, Missouri","30 West Pershing Rd.","Union Station, Suite 160","Kansas City","MO","64108-2410","RAIL","29"
"21","KEE","Kewanee, Illinois","Loomis and North Tremont Sts.","","Kewanee","IL","61443","RAIL","17"
"22","KEL","Kelso-Longview, Washington","501 South First Street","","Kelso","WA","98626","RAIL","53"
"23","KFS","Klamath Falls, Oregon","1600 Oak Ave.","","Klamath Falls","OR","97601-3286","RAIL","41"
"24","KGC","King City, California","1350 Broadway Circle","MacDonalds Restaurant - south side parking lot","King City","CA","93930-3446","BUS","06"
