code,lat,lon,name,city,state,country,woeid,tz,phone,type,email,url,runway_length,elev,icao,direct_flights,carriers,stateCode,countryCode
BKK,13.7563309,100.5017651,,Bangkok,,Thailand,,,,Mac Airports,,,,,,,,,TH
ANK,39.9333635,32.8597419,,Ankara,Ankara,Turkey,,,,Mac Airports,,,,,,,,,TR
AUH,24.453884,54.3773438,,Abu Dhabi,Abu Dhabi,United Arab Emirates,,,,Mac Airports,,,,,,,,,AE
ALY,31.2000924,29.9187387,,Alexandria,Alexandria Governorate,Egypt,,,,Mac Airports,,,,,,,,,EG
BER,52.52000659999999,13.404954,,Berlin,Berlin,Germany,,,,Mac Airports,,,,,,,,,DE
EAP,47.5595986,7.5885761,,Basel,Basel-Stadt,Switzerland,,,,Mac Airports,,,,,,,,BS,CH
BXN,37.034407,27.43054,,Bodrum,Muğla Province,Turkey,,,,Mac Airports,,,,,,,,,TR
BFS,54.59728500000001,-5.93012,,Belfast,Northern Ireland,United Kingdom,,,,Mac Airports,,,,,,,,,GB
LTS,34.637765,-99.3340442,,Altus,Oklahoma,United States,,,,Mac Airports,,,,,,,,OK,US
BAK,40.40926169999999,49.8670924,,Baku,,Azerbaijan,,,,Mac Airports,,,,,,,,,AZ
CVG,39.1031182,-84.5120196,,Cincinnati,Ohio,United States,,,,Mac Airports,,,,,,,,OH,US
CGN,50.937531,6.9602786,,Cologne,North Rhine-Westphalia,Germany,,,,Mac Airports,,,,,,,,NRW,DE
WCA,-42.4801402,-73.7624137,,Castro,Los Lagos Region,Chile,,,,Mac Airports,,,,,,,,,CL
BUH,44.4267674,26.1025384,,Bucharest,Bucharest,Romania,,,,Mac Airports,,,,,,,,,RO
BRU,50.8503463,4.3517211,,Brussels,Brussels,Belgium,,,,Mac Airports,,,,,,,,,BE
MKC,39.0997265,-94.5785667,,Kansas City,Missouri,United States,,,,Mac Airports,,,,,,,,MO,US
CAS,33.5731104,-7.589843399999999,,Casablanca,Grand Casablanca,Morocco,,,,Mac Airports,,,,,,,,,MA
IEV,50.4501,30.5234,,Kiev,,Ukraine,,,,Mac Airports,,,,,,,,,UA
CHI,41.8781136,-87.6297982,,Chicago,Illinois,United States,,,,Mac Airports,,,,,,,,IL,US
BHZ,-19.9245018,-43.93523760000001,,Belo Horizonte,State of Minas Gerais,Brazil,,,,Mac Airports,,,,,,,,MG,BR
ILE,31.1171194,-97.72779589999999,,Killeen,Texas,United States,,,,Mac Airports,,,,,,,,TX,US
LON,51.5073509,-0.1277583,,London,England,United Kingdom,,,,Mac Airports,,,,,,,,,GB
BUE,-34.6036844,-58.3815591,,Buenos Aires,Autonomous City of Buenos Aires,Argentina,,,,Mac Airports,,,,,,,,CABA,AR
DTT,42.331427,-83.0457538,,Detroit,Michigan,United States,,,,Mac Airports,,,,,,,,MI,US
LNZ,48.30694,14.28583,,Linz,Upper Austria,Austria,,,,Mac Airports,,,,,,,,,AT
LIL,50.62925,3.057256,,Lille,Hauts-de-France,France,,,,Mac Airports,,,,,,,,,FR
DUS,51.2277411,6.7734556,,Dusseldorf,North Rhine-Westphalia,Germany,,,,Mac Airports,,,,,,,,NRW,DE
CSM,32.3415342,-90.3217585,,Clinton,Mississippi,United States,,,,Mac Airports,,,,,,,,MS,US
IST,41.0082376,28.9783589,,Istanbul,İstanbul,Turkey,,,,Mac Airports,,,,,,,,,TR
BJS,39.904211,116.407395,,Beijing,Beijing,China,,,,Mac Airports,,,,,,,,,CN
