code,lat,lon,name,city,state,country,woeid,tz,phone,type,email,url,runway_length,elev,icao,direct_flights,carriers
IRV,33.6562903,-117.7341876,"Irvine, California",Irvine,CA,United States,,,,Railway Stations,,,,,,0,0
KFS,42.22548219999999,-121.7718323,"Klamath Falls, Oregon",Klamath Falls,OR,United States,,,,Railway Stations,,,,,,0,0
CRN,41.0573616,-94.36144829999999,"Creston, Iowa",Creston,IA,United States,,,,Railway Stations,,,,,,0,0
CRT,41.1927701,-73.8830717,"Croton Harmon, New York",Croton-on-Hudson,NY,United States,,,,Railway Stations,,,,,,0,0
JSP,31.6059845,-81.882254,"Jesup, Georgia",Jesup,GA,United States,,,,Railway Stations,,,,,,0,0
KEE,41.2463241,-89.9263589,"Kewanee, Illinois",Kewanee,IL,United States,,,,Railway Stations,,,,,,0,0
JAN,32.300885,-90.1910166,"Jackson, Mississippi",Jackson,MS,United States,,,,Railway Stations,,,,,,0,0
COI,39.6444689,-85.1312056,"Connersville, Indiana",Connersville,IN,United States,,,,Railway Stations,,,,,,0,0
CRF,40.0440772,-86.899833,"Crawfordsville (Amtrak), Indiana",Crawfordsville,IN,United States,,,,Railway Stations,,,,,,0,0
JOL,41.5244668,-88.07963459999999,"Joliet, Illinois",Joliet,IL,United States,,,,Railway Stations,,,,,,0,0
KAL,42.295054,-85.58333499999999,"Kalamazoo, Michigan",Kalamazoo,MI,United States,,,,Railway Stations,,,,,,0,0
KNG,35.1877477,-114.0531848,"Kingman, Arizona",Kingman,AZ,United States,,,,Railway Stations,,,,,,0,0
IND,39.7624177,-86.1603324,"Indianapolis, Indiana",Indianapolis,IN,United States,,,,Railway Stations,,,,,,0,0
JAX,30.3656829,-81.72384780000002,"Jacksonville, Florida",Jacksonville,FL,United States,,,,Railway Stations,,,,,,0,0
JST,40.3299106,-78.9219983,"Johnstown, Pennsylvania",Johnstown,PA,United States,,,,Railway Stations,,,,,,0,0
HUN,38.4155166,-82.4395488,"Huntington, West Virginia",Huntington,WV,United States,,,,Railway Stations,,,,,,0,0
KCY,39.08537490000001,-94.5861078,"Kansas City, Missouri",Kansas City,MO,United States,,,,Railway Stations,,,,,,0,0
JEF,38.576312,-92.17254899999999,"Jefferson City, Missouri",Jefferson City,MO,United States,,,,Railway Stations,,,,,,0,0
COC,36.0980396,-119.5573023,"Corcoran, California",Corcoran,CA,United States,,,,Railway Stations,,,,,,0,0
KIN,41.4838754,-71.5605825,"West Kingston, Rhode Island",West Kingston,RI,United States,,,,Railway Stations,,,,,,0,0
COT,39.9856799,-75.820617,"Coatesville, Pennsylvania",Coatesville,PA,United States,,,,Railway Stations,,,,,,0,0
KEL,46.1421959,-122.9132562,"Kelso-Longview, Washington",Kelso,WA,United States,,,,Railway Stations,,,,,,0,0
CPN,34.3966997,-119.523087,"Carpinteria, California",Carpinteria,CA,United States,,,,Railway Stations,,,,,,0,0
KKI,41.119011,-87.865782,"Kankakee, Illinois",Kankakee,IL,United States,,,,Railway Stations,,,,,,0,0
JXN,42.2479591,-84.39975070000001,"Jackson, Michigan",Jackson,MI,United States,,,,Railway Stations,,,,,,0,0
COX,39.0986062,-120.9530976,"Colfax, California",Colfax,CA,United States,,,,Railway Stations,,,,,,0,0
KIS,28.293873,-81.40427,"Kissimmee, Florida",Kissimmee,FL,United States,,,,Railway Stations,,,,,,0,0
HUT,38.0559773,-97.93021069999999,"Hutchinson, Kansas",Hutchinson,KS,United States,,,,Railway Stations,,,,,,0,0
IDP,39.08744009999999,-94.4289581,"Independence, Missouri",Independence,MO,United States,,,,Railway Stations,,,,,,0,0
COV,40.0195363,-79.5924192,"Connellsville, Pennsylvania",Connellsville,PA,United States,,,,Railway Stations,,,,,,0,0
KAN,35.4960414,-80.6247593,"Kannapolis, North Carolina",Kannapolis,NC,United States,,,,Railway Stations,,,,,,0,0
DAN,36.5841172,-79.3846682,"Danville, Virginia",Danville,VA,United States,,,,Railway Stations,,,,,,0,0
CSN,34.6909077,-82.8338574,"Clemson, South Carolina",Clemson,SC,United States,,,,Railway Stations,,,,,,0,0
DLD,29.0167161,-81.3533866,"Deland, Florida",Deland,FL,United States,,,,Railway Stations,,,,,,0,0
CYN,35.78842849999999,-78.7822338,"Cary, North Carolina",Cary,NC,United States,,,,Railway Stations,,,,,,0,0
CWH,40.0703555,-74.9510117,"Cornwells Heights, Pennsylvania",Cornwells Heights,PA,United States,,,,Railway Stations,,,,,,0,0
DER,42.3125186,-83.1985698,"Dearborn, Michigan",Dearborn,MI,United States,,,,Railway Stations,,,,,,0,0
CTL,46.7177596,-122.9528291,"Centralia, Washington",Centralia,WA,United States,,,,Railway Stations,,,,,,0,0
DNC,35.997154,-78.90745,"Durham, North Carolina",Durham,NC,United States,,,,Railway Stations,,,,,,0,0
DLK,46.81980540000001,-95.84602880000001,"Detroit Lakes, Minnesota",Detroit Lakes,MN,United States,,,,Railway Stations,,,,,,0,0
CWT,34.2522429,-118.5987602,"Chatsworth, California",Chatsworth,CA,United States,,,,Railway Stations,,,,,,0,0
DOW,40.002553,-75.7104016,"Downingtown, Pennsylvania",Downingtown,PA,United States,,,,Railway Stations,,,,,,0,0
DLB,26.4551282,-80.0926607,"Delray Beach, Florida",Delray Beach,FL,United States,,,,Railway Stations,,,,,,0,0
CRV,39.2793073,-89.8891923,"Carlinville, Illinois",Carlinville,IL,United States,,,,Railway Stations,,,,,,0,0
DOA,41.9809945,-86.10889259999999,"Dowagiac, Michigan",Dowagiac,MI,United States,,,,Railway Stations,,,,,,0,0
DQN,38.0122437,-89.24014389999999,"Du Quoin, Illinois",Du Quoin,IL,United States,,,,Railway Stations,,,,,,0,0
DET,42.3683887,-83.07212539999999,"Detroit, Michigan",Detroit,MI,United States,,,,Railway Stations,,,,,,0,0
DNK,33.3267793,-81.1486343,"Denmark, South Carolina",Denmark,SC,United States,,,,Railway Stations,,,,,,0,0
CUM,39.6507253,-78.7579255,"Cumberland, Maryland",Cumberland,MD,United States,,,,Railway Stations,,,,,,0,0
